N,t_h,m
3,0.0,1.0
3,0.002170996975391715,0.6666666666666666
3,0.29178558305050545,1.0
3,0.38670095926886405,0.6666666666666666
3,0.4468162163761881,0.3333333333333333
3,0.5662058906848012,0.6666666666666666
3,0.795633084412655,1.0
3,0.9009731603619583,0.6666666666666666
3,0.9145641575059751,0.3333333333333333
3,0.9641647001715136,0.0
4,0.0,1.0
4,0.03848864568256015,0.75
4,0.044186688322658596,0.5
4,0.1981565934516977,0.25
4,0.24634471207634903,0.5
4,0.27362599525516756,0.75
4,0.30869370601134827,0.5
4,0.3555715033973747,0.75
4,0.38418442793518215,0.5
4,0.4423320548876877,0.25
4,0.4711650698582583,0.5
4,0.5518834127368542,0.75
4,0.6813362344472026,1.0
4,0.7259164147358493,0.75
4,0.8872237705598495,0.5
4,0.9443829676364291,0.25
4,0.9455793158037089,0.5
4,0.9867416486312813,0.25
4,1.1576371289153797,0.0
7,0.0,1.0
7,0.26853599122380817,0.8571428571428571
7,0.27219211714467717,0.7142857142857143
7,0.2911634710250227,0.8571428571428571
7,0.32651431563281474,0.7142857142857143
7,0.3420718159761938,0.8571428571428571
7,0.3525825802699347,1.0
7,0.35715060171104296,0.8571428571428571
7,0.3759942028330137,0.7142857142857143
7,0.5384389966450958,0.8571428571428571
7,0.5926502845036624,0.7142857142857143
7,0.6328494757437186,0.5714285714285714
7,0.6954631755504934,0.7142857142857143
7,0.7334992608492452,0.5714285714285714
7,0.7912625283454588,0.42857142857142855
7,0.8335977614824229,0.5714285714285714
7,0.8669566446858682,0.42857142857142855
7,0.8720702632834653,0.5714285714285714
7,0.8753891936570759,0.7142857142857143
7,0.8828397609878383,0.8571428571428571
7,0.8834915645017298,0.7142857142857143
7,0.9141419651597648,0.8571428571428571
7,0.9757765499734449,1.0
7,0.9991511988011075,0.8571428571428571
7,1.0188037105688066,0.7142857142857143
7,1.0350517755780033,0.5714285714285714
7,1.0587522108620173,0.7142857142857143
7,1.1342855400643717,0.5714285714285714
7,1.1523857602424232,0.7142857142857143
7,1.1544576829617992,0.5714285714285714
7,1.2150024170229377,0.7142857142857143
7,1.269491524059716,0.5714285714285714
7,1.282878483922173,0.7142857142857143
7,1.4135404007675885,0.5714285714285714
7,1.5004773470980526,0.42857142857142855
7,1.5243182841067742,0.2857142857142857
7,1.5385968966593426,0.42857142857142855
7,1.5583169432076511,0.5714285714285714
7,1.5969449974452967,0.7142857142857143
7,1.7363435101684481,0.5714285714285714
7,1.756268709169721,0.42857142857142855
7,1.7783253702387993,0.2857142857142857
7,1.796980449746664,0.42857142857142855
