N,on_fraction
1,1.0
2,0.5055223219384519
3,0.3425301187636371
4,0.1958530758210093
5,0.09582678421555832
6,0.2736890441593945
7,0.1927727763211788
8,0.15287760706356476
9,0.11376087699099029
10,0.10450512275045036
11,0.22325832302118348
12,0.18471595862742848
