N,pe_human_pred,pe_mouse_pred,pe_human_fit,pe_mouse_fit,C_human_pred,C_mouse_pred,C_human_fit,C_mouse_fit
0.1,0.7261149812607791,0.7283530370788112,0.7268727371549727,0.7284975277947447,0.15301567972652586,0.1561819901654058,0.1540836440422222,0.15638766285022
0.12785571142284569,0.724727872290918,0.72759635735151,0.725699525681834,0.7277814106515929,0.15107150554148518,0.1551073930739566,0.15243191428460023,0.1553698108523216
0.1557114228456914,0.7233364149137231,0.7268383603643618,0.7245231846233365,0.727064112335694,0.14913521632674742,0.1540351038569716,0.1507857941356876,0.1543540236675034
0.18356713426853707,0.721940622548199,0.7260790482227355,0.7233437220077364,0.726345634627594,0.14720691799593077,0.15296514000437633,0.14914534805362023,0.15334031613733445
0.21142284569138275,0.7205405089079739,0.7253184230585473,0.7221611460149636,0.7256259793291588,0.1452867164622641,0.15189751900853987,0.14751064050113316,0.1523287031054752
0.23927855711422846,0.7191360880019307,0.7245564870302976,0.7209754649769101,0.7249051482636022,0.1433747176276048,0.1508322583637407,0.14588173594079112,0.15131919941726957
0.2671342685370741,0.7177273741348031,0.7237932423231049,0.7197866873777082,0.724183143275513,0.14147102737137973,0.14976937556562842,0.1442586988301926,0.1503118199193394
0.2949899799599198,0.716314381907735,0.7230286911487411,0.7185948218539938,0.7234599662308812,0.13957575153944546,0.14870888811068528,0.14264159361714213,0.1493065794591728
0.32284569138276553,0.714897126218805,0.7222628357456642,0.7173998771951577,0.722735619017124,0.1376889959328751,0.14765081349568354,0.1410304847347965,0.14830349288471467
0.35070140280561124,0.7134756222635144,0.7214956783790505,0.7162018623435832,0.7220101035431101,0.13581086629667016,0.14659516921714166,0.13942543659677908,0.14730257504395117
0.37855711422845695,0.7120498855352367,0.7207272213408268,0.7150007863948696,0.721283421739185,0.13394146830839682,0.1455419727707794,0.1378265135922685,0.14630384078449876
0.40641282565130266,0.710619931825633,0.7199574669497001,0.7137966585980436,0.7205555755571934,0.13208090756675572,0.14449124165096738,0.1362337800810587,0.1453073049531851
0.43426853707414825,0.7091857772250262,0.7191864175511868,0.7125894883557562,0.7198265669705035,0.13022928958007896,0.14344299335017796,0.1346473003885933,0.14431298239563417
0.46212424849699396,0.7077474381227398,0.7184140755176426,0.7113792852244658,0.719096397974028,0.12838671975476013,0.14239724535843346,0.13306713880097298,0.1433208879558444
0.48997995991983967,0.7063049312073978,0.7176404432482884,0.7101660589146072,0.7183650705842461,0.1265533033836208,0.14135401516274904,0.13149335955993569,0.14233103647577017
0.5178356713426854,0.7048582734671847,0.7168655231692376,0.7089498192907474,0.7176325868392246,0.12472914563420923,0.14031332024657828,0.12992602685781351,0.14134344279489852
0.5456913827655311,0.7034074821900674,0.7160893177335218,0.7077305763717266,0.7168989487986378,0.12291435153704011,0.13927517808925316,0.1283652048324646,0.1403581217498262
0.5735470941883768,0.7019525749639781,0.715311829421115,0.7065083403307851,0.7161641585437866,0.12110902597377426,0.1382396061654234,0.12681095756217997,0.13937508817383382
0.6014028056112224,0.7004935696769555,0.7145330607389574,0.7052831214956758,0.7154282181776179,0.11931327366533728,0.1372066219444935,0.12526334906056713,0.1383943568964605
0.6292585170340681,0.6990304845172479,0.7137530142209775,0.7040549303487621,0.7146911298247416,0.11752719915998466,0.13617624289005814,0.12372244327141113,0.13741594274307345
