gene_symbol,identity_score,fitness_score
CCDC150,0.1053,0.2466
CCDC151,0.1925,-0.1418
CCDC152,-0.2262,-0.2289
CCDC153,0.0838,-0.3742
CCDC154,-0.1115,0.0328
CCDC155,-0.2194,-0.1071
CCDC157,-0.3422,-0.0221
CCDC158,0.063,-0.0412
CCDC159,0.131,0.0612
CCDC160,0.0996,-2.5357
CCDC163,0.9907,-0.6521
CCDC166,0.078,-0.1371
CCDC167,-0.515,0.8114
CCDC17,-0.5576,-0.1905
CCDC170,0.0565,-0.5205
CCDC171,0.713,-0.2977
CCDC172,0.3273,-1.2301
CCDC173,-0.405,-0.002
CCDC174,-0.1348,0.5069
CCDC175,0.2529,0.0636
CCDC176,-0.2325,-0.5149
CCDC177,-0.0815,-1.1729
CCDC178,0.6195,-0.2189
CCDC18,0.1389,-1.0361
CCDC181,0.1423,-0.4004
CCDC19,0.2568,-0.2347
CCDC22,0.067,-0.3603
CCDC23,0.3431,0.0834
CCDC24,0.4729,0.0123
CCDC25,-1.1602,-0.5199
CCDC27,0.2164,-0.8286
CCDC28A,-0.2646,-0.1841
CCDC28B,0.3721,-0.3081
CCDC3,0.0327,-0.6562
CCDC30,0.1607,-0.6064
CCDC32,0.4869,-0.0129
CCDC33,-0.1864,-0.5921
CCDC34,-0.2693,-0.6131
CCDC36,0.3308,-0.5913
CCDC37,-1.262,0.8116
CCDC38,-0.5074,0.0331
CCDC39,0.0009,-0.33
CCDC40,-0.3057,0.136
CCDC41,1.5007,-0.8625
CCDC42,-1.0728,-0.259
CCDC42B,0.6419,-0.2343
CCDC43,0.9666,0.7616
CCDC47,-0.5138,0.3853
CCDC50,-0.3133,0.9128
CCDC51,-0.1403,0.0608
CCDC53,-0.322,-0.3952
CCDC54,0.2487,-1.2131
CCDC55,0.8492,0.6788
CCDC57,-0.1695,0.0991
CCDC58,0.1023,0.4065
CCDC59,-0.2407,3.3636
CCDC6,2.8226,-6.5707
CCDC60,-0.224,0.1654
CCDC61,-0.0097,-0.4017
CCDC62,-0.9189,0.37
CCDC63,-0.2371,-0.3999
CCDC64,-0.7748,-0.0776
CCDC64B,0.4793,-0.6598
CCDC65,0.408,0.0545
CCDC66,0.0137,0.1293
CCDC67,-0.1905,-0.0092
CCDC68,0.8616,0.1134
CCDC69,-0.468,-0.2236
CCDC7,-0.2268,0.3072
CCDC70,-0.4733,-0.1784
CCDC71,-1.4942,0.0224
CCDC71L,-0.1171,-0.9047
CCDC73,0.3011,0.0246
CCDC74A,-0.8982,-0.3571
CCDC77,-0.6932,0.1296
CCDC78,0.1254,0.1324
CCDC79,-0.554,0.2562
CCDC8,1.1654,0.1144
CCDC80,1.6426,-0.9901
CCDC81,-0.5302,-0.1184
CCDC82,0.0484,-1.4624
CCDC83,0.002,0.062
CCDC84,-0.8185,3.4248
CCDC85A,0.1593,-0.1691
CCDC85B,-0.0448,-0.0016
CCDC85C,0.1767,-1.3296
CCDC86,-0.1249,2.1993
CCDC87,-0.6152,-0.1495
CCDC88A,0.3163,-0.0753
CCDC88B,-0.6417,0.0052
CCDC88C,-0.267,-0.4456
CCDC89,-0.0146,-0.1386
CCDC9,0.1967,-0.0908
CCDC90B,0.2189,0.1891
CCDC91,0.0202,-0.5319
CCDC92,0.1976,-0.3417
CCDC93,-0.0374,0.0972
CCDC94,-0.3563,2.9071
CCDC96,0.0702,-0.758
CCDC97,1.4515,0.3341
CCER1,-0.9055,0.4031
CCHCR1,0.426,-0.2529
CCIN,0.5308,-0.1158
CCK,0.8423,-0.3705
CCKAR,0.8393,-0.7496
CCKBR,1.0662,-0.8419
CCL1,0.0843,0.7682
CCL11,-0.4207,0.2052
CCL12,0.1592,-0.0245
CCL17,0.2768,0.2224
CCL2,0.0713,-0.1897
CCL20,-0.9562,0.2232
CCL21A,-0.0189,0.9723
CCL22,0.0845,-0.6534
CCL24,-0.9722,0.2258
CCL25,0.2647,0.0101
CCL26,0.237,-0.1899
CCL27A,-0.062,0.0765
CCL28,0.1829,0.2209
CCL3,-1.6197,0.6044
CCL4,0.0226,-0.0953
CCL5,0.1168,-0.285
CCL6,-0.9631,-0.0026
CCL7,0.0339,0.2649
CCL8,0.2962,-0.2673
CCL9,-0.1755,-0.3274
CCM2,-1.8595,-0.0003
CCM2L,-0.0339,0.3146
CCNA1,-0.0049,-0.929
CCNA2,-0.8733,3.3451
CCNB1,-0.2838,2.2262
CCNB1IP1,0.0934,0.1586
CCNB2,-0.6165,0.7761
CCNB3,-0.0736,0.1727
CCNC,-0.2357,2.5007
CCND1,-0.1687,0.0299
CCND2,0.3874,-0.5965
CCND3,0.0284,0.6962
CCNDBP1,-0.0433,-0.7322
CCNE1,1.081,0.3998
CCNE2,-0.2728,0.2268
CCNF,-0.0537,0.2882
CCNG1,-0.4952,0.3164
CCNG2,0.0021,-0.6446
CCNH,-0.1614,2.5851
CCNI,0.2647,0.0952
CCNJ,-0.0428,-0.1256
CCNJL,1.3322,-1.5428
CCNK,-1.4307,2.2004
CCNL1,0.2838,2.3384
CCNL2,0.5648,0.9013
CCNO,-0.0826,-0.1436
CCNT1,0.2697,1.5693
CCNT2,-0.3621,0.165
CCNY,-0.3009,0.071
CCNYL1,0.6272,0.0438
CCP110,-0.2347,0.2028
CCPG1,-0.4007,0.1479
CCR1,-0.1026,0.0996
CCR10,0.3215,-0.4087
CCR1L1,-0.3613,0.5859
CCR2,-0.0751,0.0436
CCR3,-0.2076,-2.4373
CCR4,-0.4344,1.7936
CCR5,0.7151,-0.4287
CCR6,-0.0859,-0.2342
CCR7,0.1233,-0.4476
CCR8,2.756,-0.1482
CCR9,-0.1083,0.3439
CCRL2,-0.3883,-0.0377
CCRN4L,-0.1394,0.0376
CCS,0.0381,0.578
CCSAP,0.7849,-1.5091
CCSER1,-0.31,-0.017
CCSER2,1.4951,-2.3214
CCT2,-0.6819,2.9671
CCT3,0.5058,3.5066
CCT4,0.0211,2.5896
CCT5,-0.3379,0.6755
CCT6B,-0.2581,-0.9807
CCT7,0.0092,2.2297
CCT8,-0.4647,3.5524
CCT8L1,-0.8979,-0.0288
CCZ1,-0.6743,0.2929
CD101,-0.056,-0.1577
CD109,-0.6323,0.1055
CD14,-0.6037,-0.1232
CD151,0.9538,-1.1493
CD160,0.0339,0.1232
CD163,0.0018,-0.0934
CD163L1,-0.5502,-0.5516
CD164,1.4586,-0.6012
CD164L2,-0.5561,0.7005
CD177,0.5172,-0.3393
CD180,0.1,-0.6486
CD19,1.1782,-0.2027
CD1D1,0.9925,-0.614
CD2,-0.073,0.1391
CD200,0.7461,0.0829
CD200R1,-0.0561,-0.3416
CD200R2,-0.0481,-0.1859
CD200R3,0.2005,-0.7319
CD200R4,-0.4346,-0.7184
CD207,0.6645,-1.079
CD209A,0.0305,-1.2738
CD209B,0.1232,-0.911
CD209C,-0.4369,0.1789
CD209D,1.3173,-0.488
CD209E,-0.2958,-0.1604
CD209F,0.0963,0.1504
CD209G,-0.422,0.04
CD22,-0.5017,0.2776
CD226,-0.7466,-0.6079
CD244,-0.2426,-0.025
CD247,-0.7831,0.3442
CD248,0.4529,-0.3572
CD24A,0.5514,0.7253
CD27,0.5447,-0.8308
CD274,-0.2977,-0.1613
CD276,0.9163,-1.036
CD28,-0.8283,0.166
CD2AP,1.4196,0.3781
CD2BP2,-0.4094,4.2506
CD300A,-1.9427,0.9922
CD300E,-0.0764,-0.3017
CD300LB,-0.5606,0.3891
CD300LD,0.3032,0.7648
CD300LF,0.3211,0.002
CD300LG,-0.0453,0.1451
CD302,-0.0329,-0.22
CD320,0.228,-0.6951
CD33,-0.6913,-0.5915
CD34,0.9552,-0.1653
CD36,-0.8536,0.1031
CD37,0.1916,-0.1467
CD38,-0.0168,-0.0105
CD3D,-0.7887,-0.1758
CD3E,0.2147,-1.246
CD3EAP,0.1917,2.7541
CD3G,0.1821,0.1681
CD4,0.6396,-0.4729
CD40,-0.5603,-0.0573
CD40LG,-0.0758,-0.0012
CD44,0.1657,-0.2098
CD46,-1.7428,-0.155
CD47,1.1645,0.9077
CD48,-0.8827,0.5207
CD5,0.767,-0.7046
CD52,1.2669,-1.7324
CD53,0.5435,-0.4924
CD55,-0.4434,0.0656
CD59A,-0.2663,-0.06
CD59B,-0.5242,-0.0037
CD5L,0.3739,-0.2632
CD6,0.0652,-0.1655
CD63,-1.4362,1.1227
CD68,0.1011,0.2598
CD69,-1.0742,-1.3206
CD7,0.0718,-0.1201
CD70,0.5167,-2.2603
CD72,0.3921,-0.5507
CD74,0.7404,-0.6049
CD79A,-0.7831,0.1156
CD79B,0.1062,-0.4366
CD80,-0.2208,-0.8486
CD81,-0.4561,-0.1056
CD82,-0.4776,-0.2731
CD83,0.4423,0.0211
CD84,0.2373,-0.887
CD86,-0.2404,-0.3688
CD8A,-1.4665,0.5377
CD8B1,-0.462,-0.117
CD9,-0.135,-0.0865
CD93,0.6236,-0.3697
CD96,-0.1948,-0.4871
CD97,1.7392,-0.113
CD99L2,0.3107,-0.9601
CDA,-0.4172,-0.101
CDADC1,-0.8577,-2.8046
CDAN1,1.8501,0.7274
CDC123,0.1809,1.4595
CDC14A,0.6772,-0.5441
CDC14B,0.0434,-0.4908
CDC16,0.1414,4.3693
CDC20,0.0761,3.3369
CDC20B,-0.8215,0.1814
CDC23,-0.7343,3.1337
CDC25A,-0.5193,3.1195
CDC25B,0.3125,0.0012
CDC25C,-0.1325,0.0237
CDC26,-0.2331,1.3705
CDC27,-0.0481,1.4826
CDC34,-0.1762,0.2435
CDC37,0.7505,5.3403
CDC37L1,0.2457,-0.0643
CDC40,-0.1166,0.7554
CDC42,-0.581,-0.173
CDC42BPA,0.7397,-0.0777
CDC42BPB,-0.3697,-0.3808
CDC42BPG,0.0335,-0.891
CDC42EP1,-0.1458,-0.5513
CDC42EP2,0.3773,-0.0816
CDC42EP3,0.3417,-0.7109
CDC42EP4,-0.0083,-0.1297
CDC42EP5,0.3043,-0.5553
CDC42SE1,0.1554,0.3237
CDC42SE2,-0.2117,0.5864
CDC45,0.2816,2.6863
CDC5L,-0.4041,2.5117
CDC6,0.039,2.1969
CDC7,0.1307,2.8685
CDC73,-0.2451,3.1421
CDCA2,0.5661,-0.0587
CDCA3,0.1743,0.9572
CDCA4,-0.1851,1.4585
CDCA5,-0.1566,2.5382
CDCA7,0.8066,-0.3776
CDCA7L,0.3251,-0.5978
CDCA8,0.3961,2.5084
CDCP1,-0.0706,-0.0071
CDCP2,-0.8913,-0.0536
CDH1,1.3879,2.5807
CDH10,0.1295,-0.0476
CDH11,-0.1542,1.0208
CDH12,0.2393,-0.254
CDH13,-0.3179,-1.2111
CDH15,0.0581,-0.3499
CDH16,1.5741,-0.2696
CDH17,-0.4057,-0.212
CDH18,0.2623,-0.575
CDH19,0.7653,0.2977
CDH2,-0.1118,-0.1449
CDH20,0.0173,-0.6965
CDH22,0.4841,-0.8139
CDH23,-0.1066,-0.2454
CDH24,0.2452,-0.1142
CDH26,2.2148,-1.437
CDH3,-0.1351,0.4888
CDH4,0.2336,-0.4741
CDH5,0.5091,-0.5489
CDH6,-0.3809,0.1334
CDH7,0.3119,-0.5776
CDH8,0.8444,-0.5877
CDH9,0.0277,0.1353
CDHR1,0.0585,-0.8161
CDHR2,-0.3373,0.2074
CDHR3,-0.267,-0.4951
CDHR5,-0.3147,-0.3605
CDIP1,-0.235,-0.2137
CDIPT,-0.4596,5.4568
CDK1,-0.1069,3.7021
CDK10,-0.5408,2.5584
CDK11B,-0.5102,1.1137
CDK12,-0.7603,1.3499
CDK13,-5.3357,-0.631
CDK14,-0.1601,0.1077
CDK15,-0.3355,0.0212
CDK16,0.1241,-1.3032
CDK17,0.2868,-0.5102
CDK18,-0.3489,-0.1697
CDK19,-0.2793,-0.034
CDK2,-0.0755,1.2743
CDK20,0.1142,-0.0854
CDK2AP1,-0.5884,2.4086
CDK2AP2,0.6935,-0.4102
CDK4,0.2104,-0.064
CDK5,-0.4949,0.3523
CDK5R1,-0.1913,0.1351
CDK5R2,0.3767,-0.0313
CDK5RAP1,0.4816,0.1235
CDK5RAP2,1.2119,0.0298
CDK5RAP3,-0.6643,0.6016
CDK6,-0.371,0.1436
CDK7,0.0238,5.3946
CDK8,-1.2354,3.6606
CDK9,0.6127,5.1284
CDKAL1,-0.1948,-1.195
CDKL1,0.5528,-0.3075
CDKL2,0.6674,-0.5579
CDKL3,0.2243,0.1059
CDKL4,0.8059,-0.9127
CDKL5,0.6235,-0.7623
CDKN1A,-0.1188,-0.298
CDKN1B,0.5947,-1.2377
CDKN1C,0.4775,-1.2735
CDKN2A,0.3657,0.1681
CDKN2AIP,-0.1905,-0.155
CDKN2AIPNL,-0.7633,0.1871
CDKN2B,0.247,0.0088
CDKN2C,0.0759,-0.3475
CDKN2D,0.1737,-0.241
CDKN3,-0.3916,0.0542
CDNF,-0.1823,-0.1624
CDO1,0.9336,-1.6413
CDON,-0.2208,0.1608
CDPF1,0.1988,-0.5617
CDR1,-0.3891,0.5132
CDR2,-0.3725,0.1979
CDR2L,1.093,-1.9986
CDRT4,-1.3152,-0.2177
CDS1,0.4259,-0.2518
CDS2,0.5854,0.758
CDSN,0.3459,-0.3273
CDT1,-0.2649,4.1098
CDV3,-1.4665,1.6727
CDX1,1.9592,-1.1338
CDX2,-0.1818,-0.5092
CDX4,0.5876,-0.502
CDYL,0.35,-0.5079
CDYL2,0.2043,-0.6474
CEACAM1,0.3181,-0.325
CEACAM10,-0.3174,0.4633
CEACAM11,0.2759,-0.0222
CEACAM12,-0.7637,0.2206
CEACAM13,0.52,-0.3579
CEACAM14,-0.6639,-0.2456
CEACAM15,-0.4208,-0.0288
CEACAM16,0.1216,-0.7369
CEACAM18,-1.7767,0.1829
CEACAM19,0.0245,-1.5384
CEACAM2,0.0616,-0.4025
CEACAM20,-0.0721,-0.0092
CEACAM3,0.3805,-0.7695
CEACAM5,-0.0439,0.0463
CEACAM9,0.0546,-0.2345
CEBPA,-1.2477,0.0367
CEBPB,-0.1346,-0.9478
CEBPE,-0.3936,-0.1708
CEBPG,-0.1895,1.5571
CEBPZ,-0.2285,3.6327
CECR2,-0.443,-0.5878
CECR5,0.1838,-0.4184
CECR6,0.8906,-1.4119
CEL,0.3333,-0.2735
CELA1,0.6823,-0.6223
CELA2A,-0.6271,-0.1517
CELA3B,1.6942,-0.4602
CELF1,2.3289,0.6259
CELF2,0.6658,-1.1685
CELF3,0.8565,-0.4833
CELF4,0.0026,-1.2331
CELF5,-0.9714,0.4782
CELF6,-0.0901,0.047
CELSR1,0.0062,-0.9233
CELSR2,0.0011,-0.3298
CELSR3,-0.9779,0.5388
CEND1,0.0263,-0.0389
CENPA,-0.1326,4.1251
CENPB,0.0764,-0.548
CENPC1,0.3894,0.8774
CENPE,0.3161,0.5453
CENPF,0.2618,-0.4391
CENPH,-0.3574,1.8226
CENPI,-0.5554,0.9733
CENPJ,-0.3363,0.2207
CENPK,-0.0829,3.9808
CENPL,0.0065,0.7594
CENPM,-0.0559,5.5293
CENPN,-0.0081,2.4083
CENPO,-1.026,3.8691
CENPP,-0.965,2.1109
CENPQ,-0.3589,0.2536
CENPT,-0.8175,1.1231
CENPV,-1.0714,-0.0717
CENPW,-0.8958,1.9502
CEP104,0.0352,-0.2951
CEP110,0.8967,-1.4307
CEP112,0.076,-0.0388
CEP120,-0.6424,3.2175
CEP128,-0.1615,-0.1617
CEP135,-0.014,-0.041
CEP152,-0.3792,1.0141
CEP164,0.5021,-1.0579
CEP170,-0.2434,-0.0042
CEP170B,-0.2099,-0.54
CEP19,2.2922,-0.3356
CEP192,0.1401,1.8268
CEP250,0.5484,-0.0586
CEP290,-0.4203,0.2601
CEP350,-0.026,0.4051
CEP41,-0.3816,-0.0218
CEP44,-0.0357,-0.2617
CEP55,0.4365,-1.1533
CEP57,0.0044,0.2041
CEP57L1,-0.0901,-0.0734
CEP63,-1.6133,0.198
CEP68,0.6762,-0.0316
CEP70,-0.089,-0.2669
CEP72,-0.2273,-0.1536
CEP76,0.8764,-3.2668
CEP78,1.4255,-1.3289
CEP85,-0.4323,0.8602
CEP85L,-1.1217,0.2591
CEP89,-0.8353,0.5865
CEP95,0.3424,-0.165
CEP97,-0.1352,0.93
CEPT1,-0.0252,3.4948
CER1,0.1593,-0.215
CERCAM,0.3915,-0.2987
CERK,0.5255,-1.5445
CERKL,0.3736,-0.5568
CERS1,0.0053,-0.0247
CERS2,-0.07,0.0885
CERS3,0.6604,-0.5369
CERS4,0.7073,-0.6908
CERS5,0.4454,-0.5153
CERS6,-0.36,-0.0752
CES1A,0.1132,-1.3699
CES1B,-0.111,-0.3192
CES1C,0.339,0.6121
CES1D,0.1808,0.5115
CES1E,0.7212,-0.8059
CES1F,-0.1447,-1.5726
CES1G,0.3792,-0.0023
CES2A,0.6094,-0.0685
CES2B,-0.216,0.3592
CES2C,-1.6907,0.6229
CES2E,0.8275,-0.0603
CES2F,-0.0043,-0.0289
CES2G,-0.8254,-0.5283
CES2H,-0.0998,0.1322
CES3A,0.9392,-0.5021
CES3B,0.2611,-0.5948
CES4A,0.8595,-0.4342
CETN1,-0.1041,-0.8018
CETN2,-0.2801,0.5835
CETN3,-0.4573,0.1298
CETN4,-2.0405,1.0375
CFB,1.2577,-0.2014
CFC1,0.4668,-0.0516
CFD,0.1336,-0.0891
CFDP1,0.6634,0.3223
CFH,-0.2511,-0.1695
CFHR1,0.2587,-0.007
CFHR2,-0.0847,0.3083
CFI,-0.0439,-0.493
CFL2,-1.4338,0.342
CFLAR,-0.1114,0.1007
CFP,0.4517,-0.1273
CFTR,-0.2929,-1.5364
CGA,-0.4236,0.8715
CGGBP1,-1.6145,-0.6842
CGN,0.2851,-0.2225
CGNL1,-0.244,0.041
CGREF1,0.2339,-0.1814
CGRRF1,0.5417,-0.4476
CH25H,0.5578,-1.1092
CHAC1,-0.5028,-0.5288
CHAC2,0.014,-0.0936
CHAD,0.0644,-0.0181
CHADL,0.6929,-0.6443
CHAF1A,-0.3843,2.0752
CHAF1B,-0.3809,5.3946
CHAMP1,0.2816,0.075
CHAT,-1.0139,-0.253
CHCHD1,-0.069,1.5466
CHCHD10,0.4678,-0.5068
CHCHD2,0.1264,0.9227
CHCHD3,0.5186,0.9676
CHCHD4,-0.1419,3.5491
CHCHD5,-0.3594,2.4304
CHCHD6,-0.237,0.0168
CHCHD7,0.2024,0.1162
CHD1,-0.5793,3.1224
CHD1L,-0.4242,0.2073
CHD2,1.3179,0.3115
CHD3,-0.8555,0.3211
CHD4,0.29,2.6173
CHD5,-0.176,-0.8673
CHD6,0.0044,-0.2945
CHD7,-0.1069,-0.6249
CHD8,-0.525,2.9344
CHD9,0.0879,-0.4466
CHDH,-0.1446,-0.6969
CHEK1,-0.2108,3.3599
CHEK2,0.2704,-2.9619
CHERP,-0.6864,1.1889
CHFR,-0.1252,-0.2717
CHGA,-0.0891,-0.2207
CHGB,0.0872,-0.4704
CHI3L1,0.1015,-0.5645
CHI3L3,-0.3343,-0.0076
CHI3L4,-0.2876,0.2456
CHIA,0.286,-0.7622
CHIC1,-0.3357,0.0649
CHIC2,0.0734,-0.6366
CHID1,0.3037,-0.2201
CHIT1,0.1865,-0.1819
CHKA,0.065,-0.094
CHKB,0.3309,-0.1953
CHL1,-0.8316,-0.2065
CHM,-1.042,-0.7175
CHML,-0.0043,-0.154
CHMP1A,-0.7074,5.5293
CHMP2A,1.4023,3.1512
CHMP2B,0.3715,0.0444
CHMP3,-0.3827,2.6166
CHMP4B,-0.0108,5.1083
CHMP4C,-0.1139,-0.4071
CHMP5,-0.2283,0.9504
CHMP6,-0.7496,4.9797
CHMP7,-0.2296,2.3245
CHN1,-1.0029,-0.601
CHN2,0.5242,-0.4587
CHODL,-0.0006,-0.5015
CHORDC1,0.2995,0.725
CHP1,-0.5504,3.4485
CHP2,-0.4673,0.1592
CHPF,0.5386,-1.0267
CHPF2,-0.1845,-0.2343
CHPT1,-0.0245,-0.6709
CHRAC1,1.6138,-1.4362
CHRD,-0.6725,-0.3578
CHRDL1,0.0041,-0.4938
CHRDL2,-0.1616,-0.1686
CHRM1,0.5219,-2.8902
CHRM2,2.2705,-1.292
CHRM3,-0.379,0.3088
CHRM4,0.2644,-0.1157
CHRM5,-0.4647,0.0161
CHRNA1,-0.4718,-0.2306
CHRNA10,0.2875,-1.5837
CHRNA2,-0.5947,-0.1192
CHRNA3,0.0959,0.1348
CHRNA4,0.0815,-0.6798
CHRNA5,0.6105,-1.3764
CHRNA6,-0.3944,0.0038
CHRNA7,0.5394,-0.0783
CHRNA9,0.1413,0.0255
CHRNB1,0.2122,0.2625
CHRNB2,0.3586,-1.1665
CHRNB3,-0.39,0.229
CHRNB4,0.586,-0.8434
CHRND,0.8403,0.0144
CHRNE,-0.1651,0.064
CHRNG,-0.1273,0.1916
CHST1,0.1957,-0.6822
CHST10,0.344,-1.453
CHST11,-0.6001,-0.7536
CHST12,0.4262,-1.1338
CHST13,-1.3036,-0.0566
CHST14,0.1234,-1.1033
CHST15,0.0986,-0.7494
CHST2,-0.1627,-0.5128
CHST3,0.2121,-0.3016
CHST4,0.4345,-1.4806
CHST5,-0.3838,-0.4779
CHST7,0.1736,-0.5917
CHST8,0.1615,-0.196
CHST9,-1.2626,0.2631
CHSY1,0.0318,-0.4925
CHSY3,-0.3764,-0.3913
CHTF18,-0.9391,0.4933
CHTF8,-0.9871,2.1461
CHTOP,0.5888,1.387
CHUK,0.1505,-0.2383
CHURC1,0.0218,0.0251
CIAO1,-0.8222,4.3327
CIAPIN1,-0.3866,2.3716
CIB1,-0.1088,-0.0017
CIB2,-0.4963,0.203
CIB3,-0.2837,0.1015
CIB4,-0.5687,-0.1369
CIC,-0.0777,0.0868
CIDEA,-0.0888,0.0771
CIDEB,-1.3164,0.1508
CIDEC,0.0506,-0.0511
CIITA,-0.2503,0.2283
CILP,-0.9658,0.0452
CILP2,0.2629,-0.3993
CINP,0.1007,2.8089
CIR1,1.4645,1.9029
CIRBP,0.599,-0.0228
CIRH1A,-0.0068,3.0392
CISD1,-0.6061,0.2524
CISD2,0.56,0.2717
CISD3,0.6539,0.4009
CISH,-1.2398,-0.0047
CIT,-0.1177,0.3718
CITED1,-0.5581,-0.4095
CITED2,0.2932,0.5612
CITED4,0.8068,-2.3108
CIZ1,0.494,0.0917
CK137956,0.731,-0.7226
CKAP2,-1.3326,0.5132
CKAP2L,-1.4822,0.3289
CKAP4,0.0713,-0.2806
CKAP5,0.0119,2.524
CKB,1.0593,-0.3031
CKLF,0.1644,0.2037
CKM,0.3601,-0.7405
CKMT1,0.1819,-0.0167
CKMT2,1.3331,-0.3583
CKS1B,0.9704,0.7327
CLASP2,-0.1258,0.6299
CLASRP,0.4935,3.4735
CLCA1,0.8984,-0.757
CLCA2,0.4084,0.0027
CLCA3,0.3323,-0.0155
CLCA4,-0.2208,0.0121
CLCA5,-0.2069,-0.1464
CLCA6,-0.0416,-0.272
CLCC1,-0.5235,0.3575
CLCF1,0.987,0.1026
CLCN1,-0.4987,-0.7559
CLCN2,-1.1723,0.5127
CLCN3,0.2503,0.126
CLCN4-2,0.882,-0.846
CLCN5,-0.8809,0.0008
CLCN6,0.2165,-1.3493
CLCN7,-0.3014,-0.0453
CLCNKA,-0.1291,-0.0269
CLCNKB,-1.1295,0.0989
CLDN1,0.3327,-0.3541
CLDN10,0.0868,-0.5926
CLDN11,-0.204,0.3627
CLDN12,0.5472,-0.6164
CLDN13,0.0166,0.0336
CLDN14,-0.3135,-0.2958
CLDN15,0.4375,-0.6923
CLDN16,-0.1888,-0.0717
CLDN17,0.7972,-0.3177
CLDN18,0.5448,-0.4348
CLDN19,-0.0028,-0.0843
CLDN2,1.1288,-0.398
CLDN20,0.3175,-0.3594
CLDN22,-0.0107,0.7004
CLDN23,0.5344,-1.613
CLDN24,-0.4005,0.1202
CLDN25,-0.248,0.2088
CLDN26,1.8656,-1.1554
CLDN3,-0.0204,-0.1991
CLDN4,0.5751,-1.1705
CLDN5,1.2764,-0.2083
CLDN6,-0.3188,-0.3219
CLDN7,0.1885,-0.0395
CLDN8,0.2504,-1.0566
CLDN9,1.078,-0.1898
CLDND2,0.5266,-0.4992
CLEC10A,-0.5546,0.3891
CLEC11A,0.008,0.2597
CLEC12A,0.2297,-0.4741
CLEC12B,-0.0058,-1.2014
CLEC14A,-0.319,-0.1423
CLEC16A,-0.1888,-0.2911
CLEC1A,-0.9934,-0.1388
CLEC1B,1.6746,-1.2583
CLEC2D,-0.1189,-0.409
CLEC2E,0.2466,0.0992
CLEC2G,0.5185,-0.4441
CLEC2H,-0.2654,-0.417
CLEC2I,0.2016,-2.2833
CLEC2L,-0.3937,-0.178
CLEC3A,0.9354,-1.0378
CLEC3B,0.0615,-0.0618
CLEC4A1,0.1847,-1.6566
CLEC4A2,-0.1436,0.1099
CLEC4A3,-0.5269,0.5913
CLEC4A4,0.0628,-0.0764
CLEC4B1,-0.4123,0.7111
CLEC4B2,-0.8453,-0.2858
CLEC4D,-0.344,-0.6477
CLEC4E,0.3162,0.2314
CLEC4F,-0.8315,-0.552
CLEC4G,-0.0078,-0.2101
CLEC4N,-0.2737,-0.2816
CLEC5A,0.1399,-0.6474
CLEC9A,0.1092,-0.5683
CLGN,2.1627,-0.3792
CLHC1,-0.0059,-0.7576
CLIC1,-0.1592,-0.105
CLIC3,0.4743,-0.7879
CLIC4,2.1242,0.133
CLIC5,0.4457,-0.7059
CLIC6,-0.0199,-0.3881
CLINT1,0.9411,-0.3625
CLIP1,0.0816,-0.1016
CLIP2,-1.5371,-0.2299
CLIP3,-0.5929,0.332
CLIP4,-0.0212,-0.1244
CLK1,0.7712,-0.2909
CLK2,0.0938,-0.1049
CLK3,0.4115,0.1402
CLK4,0.4895,-0.4168
CLMN,-0.3071,-0.0023
CLMP,-0.5033,0.2258
CLN3,-0.578,0.1242
CLN5,0.4509,-1.3448
CLN6,-0.0466,-0.3983
CLN8,-0.1581,0.1141
CLNK,0.2583,0.1617
CLNS1A,-0.9841,2.6654
CLOCK,-0.2039,-0.2795
CLP1,-0.0475,3.2331
CLPB,0.4312,0.1109
CLPP,0.5076,1.8614
CLPS,0.0272,-0.5731
CLPSL2,0.1193,-0.2193
CLPTM1,0.2123,-0.6285
CLPTM1L,0.1265,-0.9899
CLPX,-1.411,2.2653
CLRN1,-0.348,-0.5899
CLRN2,0.6681,0.2415
CLRN3,0.1831,-1.1641
CLSPN,-0.5065,2.0968
CLSTN1,0.1376,-0.9093
CLSTN2,0.7315,-1.5599
CLSTN3,-0.1047,-0.682
CLTA,0.2152,1.2853
CLTB,-0.3022,-0.5471
CLTC,-0.4457,4.0228
CLU,-1.621,0.0096
CLUAP1,-0.0764,-0.8206
CLUH,0.3949,1.0006
CLVS1,0.596,-0.5442
CLVS2,0.0144,-0.4277
CLYBL,0.0684,-0.5367
CMA1,0.2764,-0.1262
CMA2,0.8895,0.544
CMAH,-0.0886,0.0086
CMAS,0.7491,-0.3773
CMBL,-0.7199,-0.6824
CMC1,0.0305,-0.0309
CMC2,-0.0643,0.8969
CMIP,-0.5341,0.6881
CMKLR1,-0.5501,0.4252
CML1,-0.1007,0.6876
CML2,0.5861,-0.5207
CML5,0.9934,-1.4684
CMPK1,-0.2749,1.7641
CMPK2,0.0797,-0.2297
CMSS1,-0.1265,-0.3151
CMTM1,0.5826,-1.4148
CMTM2A,1.4942,-0.1077
CMTM2B,0.2565,-0.0667
CMTM3,-0.4268,0.2372
CMTM4,0.799,0.2019
CMTM5,-1.1554,-0.4485
CMTM6,0.0151,-0.8817
CMTM7,0.2824,-1.6449
CMTM8,-0.2677,-0.2428
CMYA5,-0.0333,0.754
CNBD2,0.3913,-0.2809
CNBP,-2.5931,-0.7807
CNDP1,-0.2037,-0.033
