gene_symbol,identity_score,fitness_score
1700065I17RIK,-0.1176,-0.1156
1700066B19RIK,-0.3029,0.0837
1700066M21RIK,1.4912,-0.1516
1700067K01RIK,1.3565,-0.7703
1700067P10RIK,-0.3361,0.4433
1700074P13RIK,0.0512,-0.0476
1700080E11RIK,-0.0209,-0.1698
1700080O16RIK,-0.2476,-0.1829
1700084C01RIK,0.3306,-0.5027
1700088E04RIK,0.183,-0.3138
1700092M07RIK,0.4277,-0.1795
1700093K21RIK,0.8945,-0.2885
1700094D03RIK,-0.4203,-0.0317
1700101E01RIK,-0.5873,-0.0642
1700102P08RIK,0.0342,-0.298
1700106J16RIK,-0.5889,-0.2435
1700109H08RIK,-0.5351,0.1153
1700110M21RIK,-0.4528,-0.36
1700112E06RIK,0.1554,-0.7338
1700113H08RIK,0.1738,0.0102
1700122O11RIK,0.0314,-0.5272
1700123I01RIK,-0.1214,-0.0504
1700123K08RIK,-0.3553,0.165
1700123O20RIK,0.0306,-0.1441
1700125H20RIK,0.6412,-0.3657
1700129C05RIK,-0.2576,0.1401
1810009A15RIK,1.0497,0.5491
1810009J06RIK,-0.5668,1.1096
1810011H11RIK,0.277,-0.2961
1810011O10RIK,0.1439,-0.1009
1810013L24RIK,-0.3169,2.9801
1810019J16RIK,-0.0277,-0.8522
1810024B03RIK,-0.0376,0.0424
1810026J23RIK,0.1694,5.3946
1810030O07RIK,-0.32,0.3438
1810033B17RIK,0.5384,-0.09
1810037I17RIK,0.427,0.1716
1810041L15RIK,1.7298,-0.9609
1810043G02RIK,-0.439,0.6448
1810043H04RIK,0.0507,4.6622
1810046K07RIK,-1.4468,1.1068
1810055G02RIK,-0.3074,0.3535
1810062G17RIK,-0.6997,-0.2303
1810065E05RIK,-0.1335,-0.4131
2010001E11RIK,-0.8294,-0.0115
2010002M12RIK,0.817,-0.1387
2010003K11RIK,0.7866,-0.2012
2010005H15RIK,-0.1041,0.1074
2010012O05RIK,-0.1538,-0.0344
2010015L04RIK,-0.4532,0.2056
2010106E10RIK,0.5605,-0.1003
2010107E04RIK,0.1286,0.4796
2010107G12RIK,-0.2157,-0.7056
2010107G23RIK,0.4132,-0.4947
2010109A12RIK,0.1377,-1.4682
2010109I03RIK,-1.0436,0.3185
2010111I01RIK,0.0825,-0.0707
2010300C02RIK,0.0636,-0.4488
2200002D01RIK,-0.1238,0.4513
2200002J24RIK,-0.1889,-0.2093
2210010C04RIK,0.9355,-0.7443
2210016F16RIK,0.4267,-1.4418
2210016L21RIK,0.297,0.0789
2210018M11RIK,2.9085,-0.1518
2210404J11RIK,0.0236,-0.3796
2210404O07RIK,-0.1131,-0.3095
2210404O09RIK,-0.6753,0.569
2210407C18RIK,-0.4985,-0.1943
2210408I21RIK,-0.0869,0.4939
2300002M23RIK,0.5346,-0.8689
2300005B03RIK,0.5999,-0.0139
2300009A05RIK,-0.6941,-0.0485
2310002J15RIK,-0.666,-0.7253
2310002L09RIK,-0.7499,-0.994
2310003H01RIK,-0.0842,3.1585
2310005G13RIK,-0.6634,-0.3336
2310007B03RIK,-0.499,-0.1944
2310007L24RIK,0.0088,-0.1618
2310009B15RIK,0.2962,-1.5248
2310011J03RIK,0.1271,0.8936
2310014L17RIK,-0.2968,0.316
2310022A10RIK,0.2945,0.0144
2310022B05RIK,-0.043,-0.2657
2310030G06RIK,-0.3222,-0.461
2310033P09RIK,-0.2674,-0.3684
2310035C23RIK,0.039,-0.1592
2310036O22RIK,-0.6253,3.3282
